Observation,A,B,C,D,E
1,0.68,0.11,2.96,1.22,0.41
2,0.12,4.45,3.28,2.22,2.14
3,0.19,0.37,1.92,11.85,0.73
4,2.13,0.32,1.83,6.20,12.00
5,0.33,2.86,3.33,0.64,6.41
6,0.27,4.69,6.35,11.26,1.08
7,3.00,6.03,5.13,5.26,0.76
8,0.99,6.21,1.19,11.54,3.64
9,0.23,0.77,3.80,7.46,12.65
10,1.23,2.92,0.03,2.88,4.78
11,0.68,0.24,3.91,8.00,1.79
12,0.76,1.58,0.59,0.30,8.56
13,0.33,0.91,1.87,7.66,1.42
14,2.28,7.75,8.08,5.87,3.96
15,0.30,0.72,1.53,0.85,13.20
16,2.17,2.54,2.42,2.83,0.60
17,2.81,0.07,0.12,1.88,0.34
18,0.90,0.98,3.99,7.14,7.95
19,1.11,2.12,3.31,0.23,0.74
20,0.31,5.26,10.86,3.50,8.86
21,2.43,2.33,1.96,6.18,1.41
22,0.04,0.29,3.36,0.99,9.93
23,0.37,1.74,0.50,15.32,3.35
24,5.48,0.08,1.05,0.93,7.19
25,0.17,1.42,2.10,0.94,5.91
26,0.82,0.26,0.05,3.43,7.01
27,0.20,0.65,4.84,4.52,11.45
28,0.05,1.33,2.63,28.97,9.48
29,1.95,2.31,1.13,19.13,1.98
30,1.33,0.47,1.67,6.73,7.70
31,0.22,0.70,7.30,3.44,3.47
32,0.93,1.38,0.11,6.77,17.78
33,2.18,0.49,0.53,6.01,6.74
34,2.45,0.22,0.25,2.65,12.15
35,0.15,1.88,1.73,7.07,1.94
36,4.09,5.40,2.71,21.54,5.62
37,0.93,3.25,6.25,1.12,2.89
38,3.69,7.86,0.66,4.27,1.65
39,0.15,0.79,2.67,3.78,3.04
40,0.86,3.21,0.06,3.37,2.63
41,0.01,1.98,3.68,24.18,0.52
42,1.35,3.44,2.21,16.89,5.14
43,0.32,1.41,1.85,2.31,3.37
44,0.12,4.28,3.12,6.67,21.35
45,1.00,7.99,1.14,0.56,1.08
46,0.01,1.58,2.04,4.56,11.71
47,2.22,0.61,0.44,16.24,8.51
48,1.91,0.39,6.88,8.33,21.90
49,0.96,1.88,5.15,2.68,13.58
50,0.88,2.67,0.34,4.94,2.66
51,1.64,1.41,2.67,0.44,2.49
52,0.46,2.93,4.58,7.07,2.15
53,1.05,4.07,0.02,1.15,12.51
54,1.84,9.76,3.01,2.27,0.62
55,4.15,6.86,2.02,5.30,7.52
56,0.05,2.33,4.92,6.01,0.07
57,3.63,1.00,0.04,1.15,4.16
58,1.25,14.50,2.79,2.29,14.53
59,0.02,2.20,6.57,19.42,3.18
60,0.04,9.79,4.88,2.27,0.66
61,0.75,5.02,1.55,34.81,12.25
62,1.11,3.62,4.22,3.31,1.32
63,0.10,0.20,1.22,1.93,10.01
64,1.82,0.22,1.54,9.14,5.43
65,0.11,5.19,0.10,5.50,4.49
66,0.70,0.52,7.63,4.74,7.51
67,0.19,2.07,0.06,2.09,3.87
68,0.50,1.43,2.34,1.87,16.02
69,0.44,1.28,0.60,8.77,6.28
70,1.71,1.56,0.89,10.29,1.98
71,0.78,1.91,0.60,18.58,0.22
72,1.17,7.09,2.32,10.67,0.43
73,1.29,7.51,6.43,0.03,5.62
74,1.90,1.93,0.48,23.08,1.95
75,2.71,1.85,2.48,1.01,7.62
76,0.42,0.61,1.86,8.16,0.31
